Dockerfile,Component,Origin,License,Distributed by you?,Comments
Dockerfile-controller,libtesseract5:amd64:5.3.4-1build5,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-controller,libtirpc3t64:amd64:1.3.4+ds-1.1build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-controller,libwacom-common:2.10.0-2,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-controller,libwacom9:amd64:2.10.0-2,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-controller,mesa-libgallium:amd64:24.2.8-1ubuntu1~24.04.1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-controller,proj-data:9.4.0-1build2,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-controller,shared-mime-info:2.4-4,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-manager,libcurl4:amd64:7.81.0-1ubuntu1.20,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-manager,libipc-run-perl:20200505.0-1,,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-manager,libmd0:amd64:1.0.4-1build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-manager,libsasl2-2:amd64:2.1.27+dfsg2-3ubuntu1.2,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-manager,libsasl2-modules-db:amd64:2.1.27+dfsg2-3ubuntu1.2,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-manager,netcat:1.218-4ubuntu1,Ubuntu,BSD-3-Clause,Y,used
Dockerfile-manager,netcat-openbsd:1.218-4ubuntu1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
Dockerfile-secrets,libcurl4:7.81.0-1ubuntu1.20,Ubuntu,BSD-3-Clause,N,indirect dependency automatically installed
Dockerfile-secrets,libsasl2-2:2.1.27+dfsg2-3ubuntu1.2,Ubuntu,BSD-3-Clause,N,indirect dependency automatically installed
Dockerfile-secrets,libsasl2-modules:2.1.27+dfsg2-3ubuntu1.2,Ubuntu,BSD-3-Clause,N,indirect dependency automatically installed
Dockerfile-secrets,libsasl2-modules-db:2.1.27+dfsg2-3ubuntu1.2,Ubuntu,BSD-3-Clause,N,indirect dependency automatically installed
Dockerfile-camcalibration,click==8.2.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,comm==0.2.3,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,cycler==0.12.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
Dockerfile-camcalibration,Flask==3.1.1,pypi,BSD-3-Clause,Y,indirect dependency. auto installed
